TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
6319056	2.16.840.1.113883.6.5.2.1	567.9		
6229053	2.16.840.1.113883.6.5.2.1	535.60		
5210051	2.16.840.1.113883.6.5.2.1	366.19		
7903050	2.16.840.1.113883.6.5.2.1	823.81		
2216051	2.16.840.1.113883.6.5.2.1	823.00		
5710052	2.16.840.1.113883.6.5.2.1	402.11		
1718054	2.16.840.1.113883.6.5.2.1	754.51		
1100056	2.16.840.1.113883.6.5.2.1	557.0		
676056	2.16.840.1.113883.6.5.2.1	349.9		
9550329053	2.16.840.1.113883.6.5.2.1	599.60		
9554708054	2.16.840.1.113883.6.5.2.1	362.51		
9554878057	2.16.840.1.113883.6.5.2.1	E967.9		
2372055	2.16.840.1.113883.6.5.2.1	958.2		
6592050	2.16.840.1.113883.6.5.2.1	635.00		
5802058	2.16.840.1.113883.6.5.2.1	429.2		
7701058	2.16.840.1.113883.6.5.2.1	802.36		
1911050	2.16.840.1.113883.6.5.2.1	784.7		
5706054	2.16.840.1.113883.6.5.2.1	401.1		
294056	2.16.840.1.113883.6.5.2.1	268.9		
4417057	2.16.840.1.113883.6.5.2.1	223.0		
4445050	2.16.840.1.113883.6.5.2.1	228.02		
9555767051	2.16.840.1.113883.6.5.2.1	996.41		
4168054	2.16.840.1.113883.6.5.2.1	200.00		
4023056	2.16.840.1.113883.6.5.2.1	172.4		
5421057	2.16.840.1.113883.6.5.2.1	374.82		
6606054	2.16.840.1.113883.6.5.2.1	636.40		
524054	2.16.840.1.113883.6.5.2.1	307.23		
6948058	2.16.840.1.113883.6.5.2.1	715.21		
1253056	2.16.840.1.113883.6.5.2.1	626.2		
1646057	2.16.840.1.113883.6.5.2.1	736.79		
1684050	2.16.840.1.113883.6.5.2.1	744.9		
827052	2.16.840.1.113883.6.5.2.1	376.30		
6965054	2.16.840.1.113883.6.5.2.1	716.10		
1766055	2.16.840.1.113883.6.5.2.1	759.2		
4705055	2.16.840.1.113883.6.5.2.1	287.9		
9072052	2.16.840.1.113883.6.5.2.1	955.2		
